"1,1,2"
"2,1,2"
"0,0,1"
"3,1,2"
"1,0,1"
"2,1,2"
"2,0,1"
"2,2,3"
"2,1,3"
"0,0,2"
"3,1,2"
"1,1,1"
"6,2,2"
"3,1,1"
"1,2,2"
"2,2,1"
"0,1,2"
"2,1,2"
"1,0,0"
"1,4,2"
"2,2,2"
"0,1,4"
"3,2,2"
"0,-1,1"
"2,2,2"
"2,0,0"
"3,1,2"
"2,1,1"
"0,0,2"
"2,1,1"
"1,0,0"
"2,1,2"
"2,0,0"
"1,1,3"
"4,2,2"
"2,1,1"
"3,2,2"
"2,2,0"
"2,2,3"
"3,2,2"
"1,1,1"
"2,2,2"
"3,0,0"
"2,2,2"
"3,3,1"
"1,2,2"
"2,2,3"
"1,-7,-16"
"2,3,1"
"-4,1,-4"
"-3,0,-8"
"-3,4,0"
"1,8,-2"
"-1,7,0"
"-6,5,0"
"-5,9,2"
"-7,8,-6"
"-18,5,-3"
"-23,-5,-17"
"-38,-17,-22"
"-37,-16,-22"
"-40,-18,-24"
"-40,-15,-22"
"-40,-18,-24"
"-41,-19,-23"
"-41,-19,-24"
"-43,-21,-25"
"-42,-19,-24"
"-43,-21,-27"
"-43,-21,-25"
"-42,-21,-25"
"-45,-20,-23"
"-44,-21,-26"
"-47,-22,-26"
"-44,-22,-25"
"-46,-23,-28"
"-46,-23,-25"
"-46,-24,-29"
"-47,-22,-26"
"-47,-23,-27"
"-49,-23,-26"
"-47,-22,-27"
"-48,-24,-29"
"-47,-23,-27"
"-47,-23,-28"
"-48,-22,-27"
"-49,-24,-28"
"-48,-24,-27"
"-48,-24,-28"
"-50,-26,-30"
"-49,-23,-27"
"-48,-25,-28"
"-49,-24,-28"
"-49,-25,-29"
"-51,-25,-28"
"-49,-23,-28"
"-50,-26,-30"
"-51,-25,-28"
"-50,-25,-29"
"-52,-27,-30"
"-51,-27,-29"
"-50,-27,-28"
"-52,-26,-29"
"-51,-26,-29"
"-49,-27,-30"
"-52,-27,-29"
"-51,-27,-30"
"-54,-27,-29"
"-52,-27,-30"
"-52,-27,-30"
"-51,-27,-29"
"-52,-28,-31"
"-52,-27,-30"
"-53,-28,-30"
"-54,-29,-30"
"-52,-28,-30"
"-53,-27,-31"
"-54,-27,-30"
"-53,-28,-27"
"-55,-31,-30"
"-55,-29,-30"
"-59,-32,-32"
"-58,-31,-32"
"-57,-30,-35"
"-59,-33,-37"
"-60,-32,-38"
"-61,-34,-40"
"-61,-33,-41"
"-64,-33,-39"
"-62,-35,-42"
"-69,-34,-40"
"-70,-38,-43"
"-70,-37,-39"
"-69,-37,-42"
"-72,-38,-40"
"-70,-38,-42"
